Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,State,Country,Date first added,CIK,Founded,2019_july_1,2019_october_1,2020_january_2,2020_april_1,2020_june_30
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,New York,New York,United States of America,,0000021665,1806,70.24,71.45,68.01,64.36,72.43
CMA,Comerica Inc.,reports,Financials,Diversified Banks,Dallas,Texas,United States of America,1995-12-01,0000028412,,69.49,63.45,69.44,27.43,37.01
CAG,Conagra Brands,reports,Consumer Staples,Packaged Foods & Meats,Chicago,Illinois,United States of America,1983-08-31,0000023217,,25.92,30.1,33.82,28.17,33.7
CXO,Concho Resources,reports,Energy,Oil & Gas Exploration & Production,Midland,Texas,United States of America,2016-02-22,0001358071,,104.45,68.04,87.54,41.3,50.0
COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,Houston,Texas,United States of America,,0001163165,2002,60.19,56.11,64.18,29.03,41.3
ED,Consolidated Edison,reports,Utilities,Electric Utilities,New York,New York,United States of America,,0001047862,1823,84.51,91.64,88.87,74.91,72.7
STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,Victor,New York,United States of America,2005-07-01,0000016918,,195.81,205.06,188.38,137.94,174.17
COO,The Cooper Companies,reports,Health Care,Health Care Supplies,San Ramon,California,United States of America,2016-09-23,0000711404,,339.32,297.52,323.19,268.8,270.93
CPRT,Copart Inc,reports,Industrials,Diversified Support Services,Dallas,Texas,United States of America,2018-07-02,0000900075,1982,75.51,80.33,91.4,64.91,81.94
GLW,Corning Inc.,reports,Information Technology,Electronic Components,Corning,New York,United States of America,,0000024741,1851,32.85,27.99,28.79,19.34,25.68
CTVA,Corteva,reports,Materials,Fertilizers & Agricultural Chemicals,Wilmington,Delaware,United States of America,2019-06-03,0001755672,2019,29.0,27.6,29.5,23.12,26.14
COST,Costco Wholesale Corp.,reports,Consumer Staples,Hypermarkets & Super Centers,Issaquah,Washington,United States of America,1993-10-01,0000909832,,264.1,286.16,292.77,281.72,301.59
COTY,"Coty, Inc",reports,Consumer Staples,Personal Products,New York,New York,United States of America,2016-10-03,0001024305,,13.0793,10.3191,11.326,4.96,4.74
CCI,Crown Castle International Corp.,reports,Real Estate,Specialized REITs,Houston,Texas,United States of America,2012-03-14,0001051470,,126.74,135.64,140.25,136.72,162.3
CSX,CSX Corp.,reports,Industrials,Railroads,Jacksonville,Florida,United States of America,1967-09-30,0000277948,1980,77.47,68.89,72.31,53.91,68.5
CMI,Cummins Inc.,reports,Industrials,Industrial Machinery,Columbus,Indiana,United States of America,1965-03-31,0000026172,1919,167.56,160.27,177.17,128.72,173.07
CVS,CVS Health,reports,Health Care,Health Care Services,Woonsocket,Rhode Island,United States of America,,0000064803,1996,53.39,61.79,73.53,57.27,64.42
DHI,D. R. Horton,reports,Consumer Discretionary,Homebuilding,Fort Worth,Texas,United States of America,,0000882184,1978,43.17,52.1,52.6,32.49,54.62
DHR,Danaher Corp.,reports,Health Care,Health Care Equipment,D.C.,Washington,United States of America,,0000313616,1969,143.36,143.74,153.58,133.22,172.38
DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,Orlando,Florida,United States of America,,0000940944,1938,120.13,116.46,108.95,50.3,76.63
