Country,Estimated number of road traffic deaths,"Estimated road traffic death rate (per 100,000 population)",Number of registered vehicles,Drivers/passengers of 4-wheeled vehicles (%),Drivers/passengers of motorized 2- or 3-wheelers (%),Cyclists (%),Pedestrians (%),Other/unspecified road users (%),GDP(US$)
Norway,143.0,2.7,3969612.0,64.7,17.0,8.9,11.9,12.6,75295.0
Palestine,252.0,5.3,268365.0,26.7,2.5,1.9,32.7,10.7,2946.0
Oman,713.0,16.1,1370913.0,,3.9,0.7,22.5,8.1,15267.0
Pakistan,27582.0,14.3,18352500.0,32.3,,,,,1534.0
Panama,575.0,14.3,1288573.0,52.5,4.4,5.7,40.0,17.5,15088.0
Papua New Guinea,1145.0,14.2,100993.0,16.5,,,47.5,0.0,2667.0
Paraguay,1529.0,22.7,1871947.0,2.5,52.2,0.2,22.5,8.7,4322.0
Peru,4286.0,13.5,5604789.0,0.3,0.6,0.2,8.1,88.6,6572.0
Philippines,12690.0,12.3,9251565.0,46.8,4.7,0.1,1.0,93.9,2989.0
Poland,3698.0,9.7,27409106.0,47.6,11.2,9.0,28.7,4.3,13786.0
Portugal,768.0,7.4,6590094.0,48.3,18.3,5.9,21.8,6.4,18882.0
Qatar,239.0,9.3,1330487.0,,2.2,2.8,32.0,14.6,63506.0
South Korea,4990.0,9.8,25680967.0,17.6,20.5,5.9,39.9,33.7,30025.0
Moldova,394.0,9.7,894253.0,46.1,4.3,1.4,18.5,58.1,2006.0
North Macedonia,134.0,6.4,442962.0,,9.5,6.1,33.1,4.7,5415.0
Romania,2044.0,10.3,7014661.0,57.6,4.4,9.0,37.2,3.3,10763.0
Russia,25969.0,18.0,54014259.0,,5.9,2.0,29.2,5.3,10956.0
Rwanda,3535.0,29.7,180137.0,46.7,,,,,748.0
Saint Lucia,63.0,35.4,35681.0,41.2,20.0,13.3,13.3,6.7,9607.0
Samoa,22.0,11.3,25235.0,,0.0,5.9,,5.9,4356.0
San Marino,0.0,0.0,54956.0,,,,,,50588.0
Sao Tome and Principe,55.0,27.5,34050.0,,,,,,1921.0
Saudi Arabia,9311.0,28.8,6895799.0,,,,,,20761.0
Senegal,3609.0,23.4,468051.0,46.3,,,23.1,,1333.0
Serbia,649.0,7.4,2282401.0,46.7,8.7,9.4,20.0,12.5,5912.0
Seychelles,15.0,15.9,23076.0,7.8,20.0,6.7,33.3,6.7,15693.0
Singapore,155.0,2.8,933534.0,50.2,44.0,14.2,29.1,0.7,56737.0
Slovakia,330.0,6.1,2606412.0,46.9,8.7,7.6,16.9,4.4,17552.0
Slovenia,134.0,6.4,1468439.0,,19.2,10.0,,6.9,23296.0
Solomon Islands,104.0,17.4,,,,,,,1982.0
Somalia,3884.0,27.1,59457.0,44.9,,,38.4,,
South Africa,14507.0,25.9,,,0.3,3.2,,13.1,6151.0
South Sudan,3661.0,29.9,69647.0,46.5,,,21.5,,453.0
Spain,1922.0,4.1,32986384.0,6.2,21.9,3.7,29.2,6.4,28354.0
Sri Lanka,3096.0,14.9,6795469.0,,50.8,8.1,28.6,5.7,4184.0
Sudan,10178.0,25.7,1252740.0,33.8,,,14.9,71.4,2967.0
Suriname,81.0,14.5,228388.0,53.7,45.9,4.1,15.6,1.4,6757.0
Sweden,278.0,2.8,6102914.0,34.7,16.3,8.1,,6.3,54043.0
Switzerland,223.0,2.7,5980512.0,18.8,22.7,15.3,23.1,4.2,80101.0
Syria,4890.0,26.5,2396544.0,57.4,6.4,5.9,64.7,4.2,831.0
Tajikistan,1577.0,18.1,439972.0,12.3,,2.3,40.3,0.0,801.0
Thailand,22491.0,32.7,37338139.0,46.6,74.4,3.5,7.6,2.3,6595.0
Timor-Leste,161.0,12.7,146596.0,17.3,,,,,2279.0
Togo,2224.0,29.2,64118.0,66.7,71.6,,,11.1,614.0
Tonga,18.0,16.8,8154.0,57.8,0.0,0.0,27.8,5.6,3950.0
Trinidad and Tobago,165.0,12.1,831803.0,49.3,2.2,0.7,31.1,8.1,16145.0
Tunisia,2595.0,22.8,2015601.0,21.7,22.9,2.5,24.6,0.7,3475.0
Turkey,9782.0,12.3,21090424.0,,14.9,1.9,23.4,38.0,10546.0
Turkmenistan,823.0,14.5,,21.3,,,,,6585.0
Uganda,12036.0,29.0,1594962.0,34.0,33.4,5.8,39.5,0.0,646.0
Ukraine,6089.0,13.7,14433709.0,54.5,8.7,7.1,41.9,8.4,2536.0
United Arab Emirates,1678.0,18.1,3391125.0,46.2,5.5,1.5,24.3,14.2,40699.0
United Kingdom,2019.0,3.1,38388214.0,38.5,20.5,5.5,23.7,4.1,39758.0
Tanzania,16252.0,29.2,2163623.0,63.9,22.7,8.0,29.9,0.8,934.0
United States of America,39888.0,12.4,281312446.0,30.7,14.2,2.3,15.3,4.2,60055.0
Uruguay,460.0,13.4,2342026.0,,45.7,7.0,16.6,0.0,17120.0
Uzbekistan,3617.0,11.5,,,,,,,1557.0
Vanuatu,43.0,15.9,,,,,,,3128.0
Venezuela,10640.0,33.7,7999760.0,,,,,,7977.0
Viet Nam,24970.0,26.4,50666855.0,52.2,,,,,2342.0
Zimbabwe,5601.0,34.7,1198584.0,,10.2,12.2,13.7,37.2,1091.0
Andorra,,,,,50.0,,50.0,,39153.0
Bahamas,,,,57.7,17.3,3.8,21.2,,29825.0
Bahrain,,,,59.3,9.1,5.8,31.4,,23688.0
Marshall Islands,,,,33.3,66.7,,,,3753.0
Nicaragua,,,,23.2,26.0,5.5,32.8,12.5,2222.0
Palau,,,,,,,100.0,,13417.0
Saint Vincent and the Grenadines,,,,,,,47.1,,6980.0
Zambia,,,,48.4,,11.6,36.4,,1513.0
